Question,Answer
นางโนริคนญี่ปุ่นต้องการฆ่านางจุงคนจีน จึงเอายาพิษใส่ในน้ำส้มให้นางจุงดื่มที่ห้องพักผู้โดยสารสนามบินโตเกียว โดยทราบดีว่ายาพิษจะออกฤทธิ์เมื่อนางจุงขึ้นเครื่องบินของการบินไทยแล้ว เมื่อนางจุงดื่มน้ำส้มจนหมด นางโนริและนางจุงจึงมาขึ้นเครื่องบินของการบินไทยเพื่อเดินทางมาท่องเที่ยว ต่อมายาพิษเริ่มออกฤทธิ์ นางจุงตายในอากาศยานไทยขณะอยู่บนน่านฟ้าของเกาหลี เมื่อถึงประเทศไทย จะลงโทษนางโนริในความผิดฐานฆ่าผู้อื่นโดยไตร่ตรองไว้ก่อนในราชอาณาจักรได้หรือไม่,ลงโทษไม่ได้ เพราะผลของการกระทำไม่ได้เกิดในราชอาณาจักรและไม่มีส่วนหนึ่งส่วนใดของการกระทำเกี่ยวข้องกับราชอาณาจักร
นายเอกอายุ 38 ปีมีภรรยาอยู่แล้วได้ชักชวนนางสาวตรีอายุ 17 ปีให้ไปเที่ยวประเทศญี่ปุ่นด้วยกัน โดยมิได้ขออนุญาตบิดามารดานางสาวตรีก่อน ในวันเดินทางนายเอกมารับนางสาวตรีที่หน้าปากซอยบ้าน นางสาวตรีพาขึ้นรถแท็กซี่ไปสนามบินและเดินทางไปญี่ปุ่นด้วยกัน ขณะที่ท่องเที่ยวอยู่ในประเทศญี่ปุ่น นายเอกและนางสาวตรีพักอยู่ด้วยกันและมีการร่วมประเวณีโดยความสมัครใจของนางสาวตรี เมื่อนายเอกและนางสาวตรีกลับมา นายโทบิดาของนางสาวตรีทราบเรื่องจะสามารถดำเนินคดีกับนายเอกข้อหาพรากผู้เยาว์ได้หรือไม่อย่างไร,ความผิดฐานพรากผู้เยาว์อายุไม่เกิน 18 ปี เริ่มต้นตั้งแต่ที่นายเอกพานางสาวตรีขึ้นรถยนต์ที่หน้าปากซอยแล้ว แม้จะมีการร่วมประเวณีกันที่ประเทศญี่ปุ่น การกระทำของนายเอกเป็นการพรากผู้เยาว์เพื่อการอนาจาร ซึ่งมีการกระทำส่วนหนึ่งส่วนใดเกิดขึ้นในราชอาณาจักร นายโทบิดาของนางสาวตรีสามารถดำเนินคดี กับนายเอกได้ตาม ป.อ. มาตรา 5 วรรคแรก ฎีกาที่ 1645/2531
นายแซมคนอังกฤษพานางสาวมะขิ่นชาวเมียนมาร์ไปขายบริการทางเพศที่ประเทศญี่ปุ่น ซึ่งเป็นความผิดตาม ป.อ. มาตรา 282 ต่อมานายแซมเดินทางมาท่องเที่ยวในประเทศไทย จะสามารถดำเนินคดีกับนายแซมได้หรือไม่อย่างไร,ศาลไทยลงโทษนายแซมตาม ป.อ. มาตรา 282 ได้ ตามหลักอำนาจลงโทษสากล ความผิดตาม ป.อ. มาตรา 282 เป็นความผิดที่ระบุไว้ในมาตรา 7 (2) ทวิ ดังนั้น แม้ว่าความผิดนี้จะไม่มีส่วนเกี่ยวข้องกับประเทศไทยเลย ศาลไทยก็มีอำนาจลงโทษได้ตามหลักกฎหมายมาตรา 7 จะต้องรับโทษในราชอาณาจักร
ขณะที่นายวิชัยเรียนอยู่ที่ประเทศอังกฤษ ถูกนายแมสซี่ชาวรัสเซียขับรถยนต์มาชนกับรถยนต์ของนายวิชัย ทำให้นายวิชัยได้รับบาดเจ็บสาหัส จากการสอบสวนคดีของตำรวจอังกฤษได้ความว่านายแมสซี่เป็นฝ่ายขับรถยนต์โดยประมาทเป็นเหตุให้นายวิชัยได้รับบาดเจ็บสาหัส ต่อมาทั้งคู่ได้เดินทางเข้ามาในประเทศไทย นายวิชัยได้มาปรึกษาท่านเพื่อดำเนินคดีกับนายแมสซี่ ท่านจะให้คำปรึกษาในข้อกฎหมายอย่างไร,ดำเนินคดีกับนายแมสซี่ไม่ได้ เพราะการกระทำความผิดของนายแมสซี่มิได้กำหนดไว้ในมาตรา 8 ตาม ป.อ. มาตรา 8 การกระทำความผิดนอกราชอาณาจักร โดยผู้กระทำความผิดเป็นคนต่างด้าว และคนไทยเป็นผู้เสียหาย ซึ่งจะต้องรับโทษในราชอาณาจักรนั้น ต้องเป็นความผิดตามที่ระบุไว้ในมาตรา 8(1)-(13) ซึ่งความผิดที่ระบุไว้นั้นล้วนเป็นความผิดที่ผู้กระทำจะต้องกระทำโดยเจตนาทั้งสิ้น
ศาลไทยไม่มีอำนาจลงโทษนายโตโต้ เพราะการกระทำความผิดเกิดขึ้นขณะที่เครื่องบินกำลังแล่นอยู่น่านฟ้าของประเทศจีน ซึ่งไม่ได้อยู่ในเขตอำนาจของประเทศไทย ตามหลักกฎหมายอาญาไทย ป.อ. มาตรา 4 และมาตรา 5 ศาลไทยจะมีอำนาจพิจารณาคดีได้ก็ต่อเมื่อความผิดเกิดขึ้นในราชอาณาจักร หรือเป็นความผิดที่มีผลกระทบต่อประเทศไทย ซึ่งกรณีนี้ไม่เข้าข่าย นอกจากนี้ เครื่องบินที่นายโตโต้โดยสารเป็นของสายการบินอังกฤษ จึงถือว่าอยู่ภายใต้กฎหมายของประเทศอังกฤษตามหลักอำนาจศาลของรัฐเจ้าของอากาศยาน,ได้ เพราะนายมานพผู้เสียหายเป็นคนไทยและได้ร้องขอให้ลงโทษ ซึ่งเป็นกรณีการกระทำความผิดนอกราชอาณาจักรที่มีคนไทยเป็นผู้เสียหาย ตามข้อเท็จจริง เหตุเกิดขึ้นเหนือน่านฟ้าของประเทศจีน จึงไม่ใช่ราชอาณาจักรไทยตาม ป.อ. มาตรา 4 วรรคแรก และไม่ได้เกิดขึ้นในอากาศยานไทย จึงมิใช่กรณีตาม ป.อ. มาตรา 4 วรรคสอง อย่างไรก็ตาม ตาม ป.อ. มาตรา 8 (ข) บัญญัติว่า หากผู้เสียหายเป็นคนไทยและได้ร้องขอให้ลงโทษ และเป็นความผิดที่ระบุไว้ในมาตรา 8 ศาลไทยก็มีอำนาจลงโทษได้ เมื่อการกระทำของนายโตโต้เป็นความผิดฐานลักทรัพย์ ซึ่งเป็นความผิดที่ระบุไว้ในมาตรา 8 (8) ศาลไทยจึงมีอำนาจลงโทษนายโตโต้ได้ตาม ป.อ. มาตรา 8 (ข) (8).
นายโรเบิร์ตคนอังกฤษทำร้ายร่างกายนายโชคดีคนไทยบาดเจ็บในประเทศแคนาดา ต่อมานายโรเบิร์ตเข้ามาในประเทศไทย รัฐบาลแคนาดาได้ร้องขอให้ศาลไทยลงโทษนายโรเบิร์ต ดังนี้ ศาลไทยจะลงโทษนาย โรเบิร์ตได้หรือไม่อย่างไร,ลงโทษไม่ได้ เพราการกระทำความผิดเกิดนอกราชอาณาจักร โดยคนไทยเป็นผู้เสียหายแต่ ผู้เสียหายไม่ได้ร้องขอให้ลงโทษ
นายเทพคนไทยอาศัยอยู่ที่ประเทศสิงคโปร์ จ้างนายซ้งคนจีนให้ไปฆ่านายจิมมี่คนอังกฤษที่อาศัยอยู่ใน ประเทศไทย เมื่อนายซ้งเข้ามาในประเทศไทยก็ถูกตำรวจไทยจับได้เสียก่อนที่จะลงมือฆ่า ศาลไทยลงโทษได้หรือไม่อย่างไร,ศาลไทยลงโทษนายเทพได้หากรัฐบาลสิงคโปร์ร้องขอให้ลงโทษ เพราะ แม้นายซ้งยังไม่ลงมือฆ่านายจิมมี่ นายเทพซึ่งเป็นผู้ใช้ต้องระวางโทษหนึ่งในสามของโทษในความผิดฐานฆ่าแล้ว ตามหลักกฎหมายมาตรา ๘๔ วรรคสอง เมื่อนายเทพกระทำความผิดนอกราชอาณาจักรจึงเป็นกรณีตาม ป.อ. มาตรา ๘ (ก) (๔) มิใช่กรณีตาม ป.อ. มาตรา ๖ เพราะความผิดที่ใช้ยังมิได้กระทำลงใน าชอาณาจักร
นายชาติเป็นเจ้าพนักงานกระทรวงแห่งหนึ่งได้รับแต่งตั้งให้เดินทางไปติดต่อซื้อเครื่องจักรในประเทศเยอรมันตามหน้าที่ราชการ นายชาติร่วมมือกับนายชอบชาวไทยที่กำลังติดต่อธุรกิจการค้าที่ประเทศเยอรมัน เรียกเงินจากบริษัทขายเครื่องจักรเป็นการตอบแทนในการตกลงซื้อเครื่องจักรกับบริษัทนั้น ดังนี้ เมื่อนายชาติและนายชอบเดินทางกลับมายังประเทศไทย ศาลไทยจะพิพากษาลงโทษนายชาติและนายชอบได้หรือไม่เพียงใด,ลงโทษนายชาติฐานเป็นเจ้าพนักงานเรียกรับสินบนได้ตาม ป.อ. มาตรา ๙ แต่ลงโทษนายชอบไม่ได้ นายชาติกระทำความผิดเป็นเจ้าพนักงานเรียกหรือรับสินบนตาม ป.อ. มาตรา ๑๔๙ โดยมีนายชอบเป็นผู้สนับสนุน ศาลไทยมีอำนาจลงโทษนายชาติได้ตาม ป.อ. มาตรา ๙ แม้กระทำนอกราชอาณาจักร แต่นายชอบมิใช่เจ้าพนักงานจึงน ามาตรา ๙ มาใช้บังคับไม่ได้ และความผิดตาม ป.อ. มาตรา ๑๔๙ ไม่ใช่ความผิดที่กำหนดไว้ในมาตรา ๗ และ ๘ จึงลงโทษนายชอบในราชอาณาจักรไม่ได้
นายเฮงคนสัญชาติจีน กระทำการปลอมธนบัตรรัฐบาลไทยที่ประเทศกัมพูชา ถูกจับได้และถูกศาลกัมพูชาพิพากษาถึงที่สุดลงโทษจำคุก ๓ ปี นายเฮงรับโทษได้เพียง ๑ ปีก็หลบหนีออกมาอยู่ประเทศไทย อยู่มาได้ ๒ เดือน นายเฮงก็ถูกจับได้ และพนักงานอัยการยื่นฟ้องนายเฮง ขอให้ลงโทษในความผิดฐานปลอมธนบัตรรัฐบาลไทยที่ประเทศกัมพูชา ดังนี้ ศาลไทยจะลงโทษนายเฮงในความผิดที่ฟ้องได้หรือไม่ เพียงใด,ลงโทษได้ การกระทำของนายเฮงเป็นความผิดตาม ป.อ. มาตรา ๒๔๐ และเป็นความผิดนอกราชอาณาจักรต้องรับโทษในราชอาณาจักรตาม ป.อ. มาตรา ๗ (๒) นายเฮงได้รับโทษจำคุกตามคำพิพากษาของศาลกัมพูชามาแล้ว แต่ยังไม่พ้นโทษ ศาลไทยจะลงโทษนายเฮงน้อยกว่าที่กฎหมายกำหนดไว้เพียงใดก็ได้ ทั้งนี้โดยคำนึงถึงโทษที่นายเฮงได้รับมาแล้ว ตาม ป.อ. มาตรา ๑๐ วรรคสอง
นายโจเซฟชาวฝรั่งเศสได้ร่วมมือกับนายโชคเพื่อนนักธุรกิจชาวไทยซึ่งมีสำนักงานอยู่ที่ประเทศกัมพูชา ทำการปลอมธนบัตรดอลลาร์ของสหรัฐอเมริกาในสำนักงานที่ประเทศกัมพูชา ต่อมาเจ้าหน้าที่ตำรวจกัมพูชาเข้าจับกุม นายโชคหลบหนีกลับเข้าประเทศไทยได้ ส่วนนายโจเซฟถูกจับดำเนินคดี ศาลกัมพูชาได้มีคำพิพากษาถึงที่สุดให้ปล่อยตัวนายโจเซฟ จากนั้นนายโจเซฟเดินทางเข้ามาในประเทศไทยเพื่อพบกับนายโชคที่ได้หลบหนีมาก่อนแล้ว ดังนี้ ศาลไทยจะลงโทษนายโจเซฟและนายโชคในความผิดดังกล่าวได้หรือไม่อย่างไร,การกระทำของนายโจเซฟและนายโชคเป็นความผิดตาม ป.อ. มาตรา ๒๔๐ ประกอบมาตรา ๒๔๗ ซึ่งเป็นการกระทำความผิดนอกราชอาณาจักรตาม ป.อ. มาตรา ๗(๒) แต่ได้มีค าพิพากษาถึงที่สุดให้ปล่อยนายโจเซฟแล้ว จึงลงโทษนายโจเซฟในประเทศไทยอีกไม่ได้ตาม ป.อ. มาตรา ๑๐(๑) ส่วนนายโชคยังไม่ได้รับโทษในความผิดนั้นมาก่อน จึงสามารถลงโทษนายโชคในประเทศไทยได้
นายวัน นายเดือน และนายปี คนงานกัมพูชาในประเทศออสเตรเลีย ร่วมกันปล้นทรัพย์และฆ่าพระภิกษุชาวไทย ๓ รูปที่วัดไทยในประเทศออสเตรเลีย ต่อมานายวันและนายเดือนถูกเจ้าหน้าที่ตำรวจออสเตรเลียจับได้และถูกส่งฟ้องต่อศาล ส่วนนายปีหลบหนีกลับบ้านที่ประเทศกัมพูชา ศาลออสเตรเลียมีคำพิพากษาถึงที่สุดให้จำคุกนายวันสิบปี และยกฟ้องนายเดือน หลังจากที่นายวันได้รับโทษจำคุกมาเพียงสามเดือนก็หลบหนีจากที่คุมขังและไปชวนนายเดือนพากันหลบหนีกลับประเทศกัมพูชา ต่อมานายวัน นายเดือนและนายปีชวนกันเข้ามาทำงานในประเทศไทยที่จังหวัดสระแก้ว ศาลไทยลงโทษได้หรือไม่อย่างไร,ศาลไทยลงโทษนายวัน นายเดือนและนายปีได้ หากนายจันทร์บิดาของพระภิกษุรูปหนึ่งที่ถูกทั้ง สามคนฆ่าร้องขอให้ลงโทษ นายวัน นายเดือนและนายปีกระทำความผิดนอกราชอาณาจักรโดยที่ผู้เสียหายเป็นคนไทยและผู้เสียหายได้ร้องขอให้ลงโทษ เมื่อการกระทำของทั้งสามคนเป็นความผิดฐานปล้นทรัพย์และฆ่าผู้อื่น ตามที่กำหนดไว้ในมาตรา ๘ นายวัน นายเดือนและนายปีจึงต้องรับโทษในราชอาณาจักร
นายโชคกระทำความผิดฐานอนาจารพนักงานต้อนรับบนเครื่องบินในอากาศยานไทยขณะจอดอยู่ที่ประเทศญี่ปุ่น ตำรวจญี่ปุ่นจับนายโชคและส่งฟ้องต่อศาลญี่ปุ่น ศาลญี่ปุ่นพิพากษาลงโทษจำคุก ๖ เดือน เมื่อพ้นโทษแล้วนายโชคเดินทางกลับมาประเทศไทย ศาลไทยจะพิพากษาลงโทษนายโชคในความผิดเดียวกันนั้นอีกได้หรือไม่เพียงใด,เมื่อรัฐบาลไทยไม่ได้ร้องขอให้ลงโทษ ศาลไทยจึงลงโทษนายโชคได้อีก แต่จะลงโทษน้อยกว่าที่กฎหมายกำหนดไว้สำหรับความผิดฐานกระทำอนาจารเพียงใดก็ได้ นายเอกไม่ต้องรับผิดต่อนางตรีเพราะไม่มีการกระทำแต่ต้องรับผิดต่อนายโทเพราะเป็นการกระทำโดยประมาท
นายเอขับรถบรรทุกเสาไฟฟ้าในเวลากลางคืน เผอิญโซ่ที่ใช้มัดเสาขาด เสาไฟฟ้าตกลงมากองที่พื้นถนน นายเอกละเลยไม่ได้จุดโคมไฟหรือแสดงสัญญาณอื่นเพื่อให้บุคคลอื่นผู้ใช้รถใช้ถนนทราบว่ามีสิ่งของตกหล่นกีดขวางถนน นายบีขับรถจักรยานยนต์มาด้วยความเร็วสูงไม่เห็นจึงชนเสาไฟฟ้านั้น ทำให้รถจักรยานยนต์เสียหลักล้มลง เป็นเหตุให้นายบีศีรษะฟาดพื้นถนนกะโหลกศีรษะแตกถึงแก่ความตาย ดังนี้ นายเอต้องรับโทษหรือไม่อย่างไร,การที่นายเอไม่จุดไฟหรือให้สัญญาณแก่รถคันอื่น ถือเป็นการงดเว้น นายเอผิดประมาทเป็นเหตุ ให้นายบีถึงแก่ความตาย
นายแดง หยิบปืนขึ้นมาเช็ดถูทำความสะอาดโดยไม่ได้ตรวจดูให้ดีก่อนว่ามีลูกกระสุนอยู่ในกระบอกปืนหรือไม่ ความจริงปรากฏว่ามีลูกกระสุนหลงเหลืออยู่หนึ่งลูก ขณะที่นายแดงกำลังเช็ดถูปืนอยู่ กระสุนได้ลั่นไปถูกนายขาว ซึ่งนั่งอยู่ใกล้ ๆ ถึงแก่ความตาย นายแดงจะต้องรับผิดทางอาญาหรือไม่อย่างไร,นายแดง ผิดฐานฆ่าคนตายโดยประมาทเป็นการกระทำ โดยปราศจากความระมัดระวังตามวิสัยของคนใช้ปืน
นายแดงและนายดำร่วมกันใช้ก้อนหินขนาดใหญ่เท่ากำปั้นขว้างกระจกหน้ารถยนต์ที่ผ่านไปมาบนทางหลวง เพื่อให้รถยนต์เสียหลักพลิกคว่ำตกลงข้างทาง แล้วได้เก็บทรัพย์จากผู้ที่ได้รับบาดเจ็บ ปรากฏว่ารถยนต์ของนายขาวที่ถูกนายแดงขว้างกระจกพลิกคว่ำเป็นเหตุให้นายขาวตาย ดังนี้ นายแดงผิดอย่างไร,ผิดฆ่านายขาวโดยเจตนาย่อมเล็งเห็นผล
นายแดงเจตนาฆ่านายดำเห็นนายดำยืนกอดคออยู่กับนายขาว นายแดงใช้ปืนลูกซองยิงนายดำกระสุนไม่ถูกนายดำแต่ถูกนายขาวถึงแก่ความตาย,นายแดงผิดพยายามฆ่านายดำและผิดฐานฆ่านายขาวตายโดยเจตนาย่อมเล็งเห็นผล
นางเงาะทำร้ายนายกล้วยสามีของตนเองได้รับบาดเจ็บ ขณะที่นายกล้วยกำลังปีนรั้วบ้านในเวลากลางคืนเพราะเข้าใจว่าเป็นคนร้ายจะเข้ามาลักทรัพย์ เนื่องจากละแวกบ้านของนางเงาะมีขโมยชุกชุม ดังนี้ นางเงาะจะต้องรับผิดประการใดหรือไม่,ไม่มีความผิดเพราะเป็นการป้องกันโดยสำคัญผิด ตามปัญหานางเงาะเข้าใจผิดว่านายกล้วยเป็นคนร้าย การกระทำของนางเงาะจึงเป็นการสำคัญผิดในข้อเท็จจริง ถ้าหากเป็นร้ายจะมาลักทรัพย์จริง ย่อมเป็นภยันตรายที่เกิดจากการประทุษร้ายอันละเมิดต่อกฎหมายและเป็นภยันตรายที่ใกล้จะถึง นางเงาะย่อมมีสิทธิป้องกันตนได้ การกระทำของนางเงาะจึงเป็นการป้องกันโดยสำคัญผิดในข้อเท็จจริง ย่อมไม่เป็นความผิดตาม ป.อ. มาตรา ๖๘ และมาตรา ๖๒
นายกบเห็นคนเดินเข้าไปในบ้านของนายอึ่งเพื่อนของตนในเวลากลางคืนเกรงว่าจะเป็นคนร้าย จึงไปแอบดูอยู่ที่หลังพุ่มไม้ข้างรั้วบ้านของนายอึ่ง นายอึ่งเดินมาเปิดประตูหน้าต่างมองเห็นเงาคนก็เข้าใจว่านายกบเป็นคนร้ายจะเข้ามาลักทรัพย์ในบ้านของตนโดยไม่พิจารณาให้ดีเสียก่อน จึงใช้ปืนยิงไปที่ร่างนั้น ๑ นัด กระสุนปืนไม่ถูกนายกบ แต่ไปถูกนายเขียดซึ่งเดินผ่านมาพอดีถึงแก่ความตาย ดังนี้ นายอึ่งต้องรับผิดในความตายของนายเขียดหรือไม่อย่างไร,ผิดประมาทเป็นเหตุให้นายเขียดถึงแก่ความตาย เพราะความสำคัญผิดเกิดขึ้นด้วยความประมาท
นายดำโกรธแค้น พ.ต.ต.ก้องที่จับนายดำฐานเล่นการพนันชนไก่โดยไม่ได้รับอนุญาต จึงมาดักทำร้าย พ.ต.ต.ก้องในเวลาค่ำ ขณะที่ดักรออยู่นั้นนายขาวบิดาของนายดำเดินผ่านมาพอดี นายดำเข้าใจว่าเป็น พ.ต.ต.ก้อง จึงใช้ไม้ตีศีรษะนายขาวแตก นายดำต้องรับผิดหรือไม่อย่างไร,นายดำต้องรับผิดต่อนายขาวเพราะเป็นการกระทำโดยเจตนาแต่ไม่ต้องรับโทษหนักขึ้น ตาม ป.อาญา มาตรา ๖๑ จะยกข้อแก้ตัวว่าเป็นการสำคัญผิดในตัวบุคคลไม่ได้ นายดำจึงต้องรับผิดต่อนายขาว แต่ไม่ต้องรับโทษหนักขึ ้นเพราะกระทำต่อบุพการีเพราะนายดำไม่รู ้ข้อเท็จจริงนั ้นตาม ป.อ. มาตรา ๖๒ วรรคท้าย
